source_run_id,source_experiment,mission_id,source_cell,seed,attempt,mode,variant,status,readability,depth,breadth,synthesis_depth,investigation_reuse,source_groundedness,provenance_completeness,overclaim_rate,unsupported_conclusion_rate,unverifiable_conclusion_rate,internal_id_path_leakage,notes
CQ1-AUTO-seed-0001-attempt-1,controller-quality,CQ1,AUTO,1,1,fork,F1,judged,5,5,5,5,0.900,0.960,0.950,0.030,0.040,0.020,0,원문 근거를 촘촘히 연결하면서 C1 경계와 리포트 모델의 긴장을 보수적으로 잘 정리했다.
CQ1-AUTO-seed-0001-attempt-1,controller-quality,CQ1,AUTO,1,1,fork,F2,judged,5,5,5,5,1.000,0.940,0.920,0.040,0.050,0.030,0,원문 근거를 촘촘히 붙이면서 C1 경계와 AST·후보 모델의 긴장을 균형 있게 정리했다.
CQ1-AUTO-seed-0001-attempt-1,controller-quality,CQ1,AUTO,1,1,fork,F3,judged,4,5,5,5,0.950,0.940,0.960,0.040,0.040,0.050,0,원문 근거를 촘촘히 사용하면서 C1 경계와 AST 관련 긴장을 조심스럽게 종합했다.
CQ1-AUTO-seed-0001-attempt-1,controller-quality,CQ1,AUTO,1,1,fork,F0,judged,4,5,5,5,0.950,0.960,0.940,0.030,0.040,0.020,0,원문 근거와 경계 해석이 충실하며 과잉 주장도 적다.
CQ2-AUTO-seed-0002-attempt-1,controller-quality,CQ2,AUTO,2,1,fork,F0,judged,5,5,5,5,0.950,0.960,0.900,0.030,0.040,0.030,0,문서 간 긴장을 잘 종합하고 구현 미확인 범위를 명확히 제한했다.
CQ2-AUTO-seed-0002-attempt-1,controller-quality,CQ2,AUTO,2,1,fork,F2,judged,5,5,5,5,1.000,0.970,0.960,0.020,0.020,0.020,0,원자료와 조사에서 드러난 핵심 긴장을 충실히 종합한 보고서입니다.
CQ2-AUTO-seed-0002-attempt-1,controller-quality,CQ2,AUTO,2,1,fork,F3,judged,5,5,5,5,0.950,0.970,0.960,0.020,0.020,0.020,0,원자료에 충실하면서 혼선의 핵심과 구현 확인 한계를 균형 있게 정리했다.
CQ2-AUTO-seed-0002-attempt-1,controller-quality,CQ2,AUTO,2,1,fork,F1,judged,5,5,5,5,1.000,0.960,0.950,0.020,0.030,0.020,0,원자료와 조사 메모의 핵심을 잘 종합하고 구현 확인 한계를 명확히 구분했다.
CQ3-AUTO-seed-0003-attempt-1,controller-quality,CQ3,AUTO,3,1,fork,F0,judged,5,5,5,5,0.950,0.950,0.950,0.030,0.040,0.020,0,원문 근거를 촘촘히 연결하면서 AST/Markdown 리포트 경계의 핵심 긴장을 잘 종합했다.
CQ3-AUTO-seed-0003-attempt-1,controller-quality,CQ3,AUTO,3,1,fork,F1,judged,5,5,5,5,0.950,0.950,0.920,0.030,0.040,0.020,0,문서 간 AST/Markdown 긴장을 잘 포착하고 출처 기반으로 균형 있게 종합했다.
CQ3-AUTO-seed-0003-attempt-1,controller-quality,CQ3,AUTO,3,1,fork,F3,judged,5,5,5,5,0.950,0.960,0.950,0.040,0.030,0.020,0,원문 간 AST/Markdown 및 evidence/claim 경계 긴장을 촘촘히 종합한 매우 근거 있는 보고서입니다.
CQ3-AUTO-seed-0003-attempt-1,controller-quality,CQ3,AUTO,3,1,fork,F2,judged,5,5,5,5,0.980,0.960,0.950,0.030,0.030,0.020,0,핵심 긴장을 잘 종합했고 출처 근거도 촘촘하지만 일부 객체 경계 해석은 약간 추론적이다.
CQ4-AUTO-seed-0004-attempt-1,controller-quality,CQ4,AUTO,4,1,fork,F0,judged,5,5,5,5,1.000,0.960,0.950,0.020,0.030,0.020,0,코드 근거와 세션 ID 구분을 매우 충실하게 설명했다.
CQ4-AUTO-seed-0004-attempt-1,controller-quality,CQ4,AUTO,4,1,fork,F1,judged,5,5,5,5,0.950,0.960,0.920,0.030,0.030,0.040,0,핵심 ID 경계와 보고서 경로를 근거 있게 구분한 우수한 보고서입니다.
CQ4-AUTO-seed-0004-attempt-1,controller-quality,CQ4,AUTO,4,1,fork,F3,judged,5,5,5,5,0.950,0.960,0.950,0.020,0.030,0.020,0,근거와 경계 구분이 매우 충실하지만 source_index.json 언급은 원문 밖이다.
CQ4-AUTO-seed-0004-attempt-1,controller-quality,CQ4,AUTO,4,1,fork,F2,judged,5,5,5,5,0.950,0.960,0.930,0.020,0.030,0.040,0,원본 코드 근거와 불확실성 구분이 매우 충실한 보고서입니다.
CQ5-AUTO-seed-0005-attempt-1,controller-quality,CQ5,AUTO,5,1,fork,F0,judged,5,5,5,5,0.950,0.960,0.950,0.030,0.040,0.030,0,원자료에 밀착하면서 조사 메모의 핵심 긴장과 구현 공백을 잘 재사용한 강한 보고서입니다.
CQ5-AUTO-seed-0005-attempt-1,controller-quality,CQ5,AUTO,5,1,fork,F1,judged,5,5,5,5,0.950,0.950,0.920,0.030,0.040,0.030,0,원자료 구분과 조사 메모의 핵심 긴장을 잘 종합한 매우 강한 보고서입니다.
CQ5-AUTO-seed-0005-attempt-1,controller-quality,CQ5,AUTO,5,1,fork,F3,judged,5,5,5,5,0.900,0.960,0.930,0.020,0.030,0.030,0,원자료에 충실하고 핵심 긴장과 한계를 잘 종합한 보고서입니다.
CQ5-AUTO-seed-0005-attempt-1,controller-quality,CQ5,AUTO,5,1,fork,F2,judged,5,5,5,5,0.900,0.950,0.900,0.050,0.050,0.080,0,세 원자료를 고르게 근거화하고 긴장과 한계를 명확히 분리한 매우 충실한 보고서입니다.
CQ6-AUTO-seed-0006-attempt-1,controller-quality,CQ6,AUTO,6,1,fork,F0,judged,5,5,5,5,0.950,0.960,0.950,0.030,0.030,0.040,0,원문 근거와 구현상 긴장을 잘 분리해 구조화한 보고서다.
CQ6-AUTO-seed-0006-attempt-1,controller-quality,CQ6,AUTO,6,1,fork,F1,judged,5,5,5,5,0.900,0.950,0.950,0.030,0.040,0.020,0,원문 근거와 구현상의 긴장을 잘 종합한 높은 품질의 보고서입니다.
CQ6-AUTO-seed-0006-attempt-1,controller-quality,CQ6,AUTO,6,1,fork,F3,judged,5,5,5,5,1.000,0.960,0.950,0.030,0.030,0.020,0,원문 근거와 조사에서 드러난 핵심 긴장을 잘 종합한 매우 견고한 보고서입니다.
CQ6-AUTO-seed-0006-attempt-1,controller-quality,CQ6,AUTO,6,1,fork,F2,judged,5,5,5,5,1.000,0.950,0.950,0.030,0.030,0.050,0,"출처와 구현 단서를 균형 있게 묶고, 미확인 지점을 명확히 제한한 보고서입니다."
CQ7-AUTO-seed-0007-attempt-1,controller-quality,CQ7,AUTO,7,1,fork,F0,judged,5,5,4,5,0.950,0.960,0.940,0.020,0.030,0.020,0,문서 근거와 남은 설계 공백을 잘 분리했지만 일부 kill criteria와 variant별 중단 조건은 덜 포괄적입니다.
CQ7-AUTO-seed-0007-attempt-1,controller-quality,CQ7,AUTO,7,1,fork,F2,judged,5,4,4,4,0.900,0.930,0.900,0.040,0.050,0.050,0,원문 근거와 조사에서 드러난 핵심 긴장을 잘 재사용했지만 G0 동일 세션과 일부 승격 중단 기준은 더 넓게 다룰 수 있었다.
CQ7-AUTO-seed-0007-attempt-1,controller-quality,CQ7,AUTO,7,1,fork,F3,judged,5,5,5,5,0.950,0.940,0.950,0.030,0.040,0.030,1,문서 근거와 해석 분리가 뛰어나지만 V/G/AUTO 조건 라벨 노출이 있다.
CQ8-AUTO-seed-0008-attempt-1,controller-quality,CQ8,AUTO,8,1,fork,F0,judged,5,5,5,5,0.950,0.960,0.950,0.040,0.040,0.030,0,원문 근거와 추론 한계를 잘 분리해 역할 분담을 설득력 있게 정리했다.
CQ7-AUTO-seed-0007-attempt-1,controller-quality,CQ7,AUTO,7,1,fork,F1,judged,5,4,4,4,0.900,0.920,0.900,0.050,0.060,0.030,0,문서 근거를 잘 묶었고 실험 통제와 제품 UX의 미정의 영역도 적절히 분리했다.
